studrollno,Accommodation Operation,Accountancy,Bakery,Banking,Biology,Botany,Business Studies,Chemistry,Civics,Computer Application,Co-operation,Economics,English,French,General Foundation Course,Hindi,History,Konkani,Logic,Marathi,Mathematics,Physics,Political Science,Portuguese,Psychology,Secretarial Practice,Sociology,Hindi_y,History_y,Political Science_y,Portuguese_y,Psychology_y,Economics_y,English_y,Konkani_y,Marathi_y,Philosophy,Sociology_y
19-1057,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,83,0,0,0,0,0,0,0,0,89,0,0,B,ND,ND,ND,ND,A,ND,ND,ND,ND,A
19-1058,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,88,0,0,0,0,0,0,0,0,98,0,0,A,ND,ND,ND,ND,A+,ND,ND,ND,ND,A+
19-1071,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,88,79,0,0,0,0,0,0,84,0,0,ND,B+,ND,ND,B+,B+,ND,ND,ND,ND,ND
19-1072,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,80,71,0,0,0,0,0,0,86,0,0,ND,A,ND,ND,B+,B+,ND,ND,ND,ND,ND
19-1073,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,89,83,0,0,0,0,0,0,93,0,0,ND,A,ND,ND,A,A,ND,ND,ND,ND,ND
19-1074,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,80,84,0,0,0,0,0,0,0,89,0,0,ND,A,ND,ND,B+,A,ND,ND,ND,ND,ND
19-1075,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,81,66,0,0,0,0,0,0,77,0,0,ND,AB,ND,ND,AB,AB,ND,ND,ND,ND,ND
19-1076,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,53,40,0,0,0,0,0,0,44,0,0,ND,F,ND,ND,F,P,ND,ND,ND,ND,ND
19-1077,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,94,81,0,0,0,0,0,0,95,0,0,ND,A,ND,ND,B+,A+,ND,ND,ND,ND,ND
19-1078,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,85,90,0,0,0,0,0,0,0,88,0,0,ND,A,ND,ND,C,B+,ND,ND,ND,ND,ND
